COUNTRY,Item,Year,Value
Peru,Percentage of children under 5 years affected by wasting (percent),2016,0.6
Georgia,Percentage of children under 5 years affected by wasting (percent),2018,0.6
Jordan,Percentage of children under 5 years affected by wasting (percent),2019,0.6
Croatia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2015,0.6
Croatia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2015,0.6
Indonesia,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2015,0.6
Japan,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2015,0.6
Latvia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2015,0.6
Russian Federation,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2015,0.6
Sri Lanka,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2015,0.6
Croatia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2016,0.6
Latvia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2016,0.6
Latvia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2016,0.6
Pakistan,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2016,0.6
Russian Federation,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2016,0.6
Sri Lanka,Prevalence of severe food insecurity in the total population (percent) (3-year average),2016,0.6
Sri Lanka,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2016,0.6
Brazil,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2017,0.6
Canada,Prevalence of severe food insecurity in the total population (percent) (3-year average),2017,0.6
Canada,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2017,0.6
Germany,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2017,0.6
Latvia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2017,0.6
Latvia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2017,0.6
Republic of Korea,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2017,0.6
Russian Federation,Prevalence of severe food insecurity in the total population (percent) (3-year average),2017,0.6
Slovenia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2017,0.6
Slovenia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2017,0.6
Sri Lanka,Prevalence of severe food insecurity in the total population (percent) (3-year average),2017,0.6
Sri Lanka,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2017,0.6
Sri Lanka,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2017,0.6
Czechia,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2018,0.6
Latvia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2018,0.6
Latvia,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2018,0.6
Republic of Korea,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2018,0.6
Thailand,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2018,0.6
Armenia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2019,0.6
Germany,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2019,0.6
Latvia,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2019,0.6
Malta,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2019,0.6
Republic of Korea,Prevalence of severe food insecurity in the total population (percent) (3-year average),2019,0.6
Republic of Korea,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2019,0.6
Republic of Korea,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2019,0.6
Switzerland,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2019,0.6
United Kingdom of Great Britain and Northern Ireland,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2019,0.6
Luxembourg,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2020,0.6
Republic of Korea,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2020,0.6
Slovenia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2020,0.6
Switzerland,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2020,0.6
Viet Nam,Prevalence of severe food insecurity in the total population (percent) (3-year average),2020,0.6
Japan,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2021,0.6
Kazakhstan,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2021,0.6
Luxembourg,Prevalence of severe food insecurity in the total population (percent) (3-year average),2021,0.6
Republic of Korea,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2021,0.6
Switzerland,Prevalence of severe food insecurity in the total population (percent) (3-year average),2021,0.6
Switzerland,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2021,0.6
United States of America,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2021,0.6
Kazakhstan,Prevalence of severe food insecurity in the total population (percent) (3-year average),2022,0.6
Kazakhstan,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2022,0.6
Luxembourg,Prevalence of severe food insecurity in the total population (percent) (3-year average),2022,0.6
United States of America,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2022,0.6
Brazil,Prevalence of severe food insecurity in the total population (percent) (3-year average),2015,0.7
Czechia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2015,0.7
Czechia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2015,0.7
Czechia,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2015,0.7
Indonesia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2015,0.7
Latvia,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2015,0.7
Pakistan,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2015,0.7
Russian Federation,Prevalence of severe food insecurity in the total population (percent) (3-year average),2015,0.7
Sri Lanka,Prevalence of severe food insecurity in the total population (percent) (3-year average),2015,0.7
Sri Lanka,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2015,0.7
Sweden,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2015,0.7
Brazil,Prevalence of severe food insecurity in the total population (percent) (3-year average),2016,0.7
Latvia,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2016,0.7
Russian Federation,Prevalence of severe food insecurity in the total population (percent) (3-year average),2016,0.7
Slovakia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2016,0.7
Slovenia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2016,0.7
Sri Lanka,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2016,0.7
Canada,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2017,0.7
Croatia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2017,0.7
Denmark,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2017,0.7
Germany,Prevalence of severe food insecurity in the total population (percent) (3-year average),2017,0.7
Malta,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2017,0.7
Poland,Prevalence of severe food insecurity in the total population (percent) (3-year average),2017,0.7
Poland,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2017,0.7
Russian Federation,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2017,0.7
Slovakia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2017,0.7
Slovenia,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2017,0.7
Sweden,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2017,0.7
Brazil,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2018,0.7
Canada,Prevalence of severe food insecurity in the total population (percent) (3-year average),2018,0.7
Canada,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2018,0.7
Denmark,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2018,0.7
France,Prevalence of severe food insecurity in the total population (percent) (3-year average),2018,0.7
Germany,Prevalence of severe food insecurity in the total population (percent) (3-year average),2018,0.7
Japan,Prevalence of severe food insecurity in the total population (percent) (3-year average),2018,0.7
Latvia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2018,0.7
Sri Lanka,Prevalence of severe food insecurity in the total population (percent) (3-year average),2018,0.7
Sri Lanka,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2018,0.7
Sri Lanka,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2018,0.7
Switzerland,Prevalence of severe food insecurity in the total population (percent) (3-year average),2018,0.7
Thailand,Prevalence of severe food insecurity in the total population (percent) (3-year average),2018,0.7
Thailand,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2018,0.7
United States of America,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2018,0.7
Estonia,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2019,0.7
France,Prevalence of severe food insecurity in the total population (percent) (3-year average),2019,0.7
Germany,Prevalence of severe food insecurity in the total population (percent) (3-year average),2019,0.7
Japan,Prevalence of severe food insecurity in the total population (percent) (3-year average),2019,0.7
Latvia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2019,0.7
Luxembourg,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2019,0.7
Norway,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2019,0.7
United Kingdom of Great Britain and Northern Ireland,Prevalence of severe food insecurity in the total population (percent) (3-year average),2019,0.7
United States of America,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2019,0.7
Viet Nam,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2019,0.7
France,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2020,0.7
Latvia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2020,0.7
Latvia,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2020,0.7
Luxembourg,Prevalence of severe food insecurity in the total population (percent) (3-year average),2020,0.7
Republic of Korea,Prevalence of severe food insecurity in the total population (percent) (3-year average),2020,0.7
Singapore,Prevalence of severe food insecurity in the total population (percent) (3-year average),2020,0.7
Singapore,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2020,0.7
Singapore,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2020,0.7
United States of America,Prevalence of severe food insecurity in the total population (percent) (3-year average),2020,0.7
United States of America,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2020,0.7
Viet Nam,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2020,0.7
Estonia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2021,0.7
Estonia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2021,0.7
Luxembourg,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2021,0.7
Norway,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2021,0.7
Switzerland,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2021,0.7
United States of America,Prevalence of severe food insecurity in the total population (percent) (3-year average),2021,0.7
Azerbaijan,Prevalence of severe food insecurity in the total population (percent) (3-year average),2022,0.7
Azerbaijan,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2022,0.7
Japan,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2022,0.7
Luxembourg,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2022,0.7
Guatemala,Percentage of children under 5 years affected by wasting (percent),2015,0.8
Guatemala,Percentage of children under 5 years affected by wasting (percent),2021,0.8
Estonia,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2015,0.8
Germany,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2015,0.8
Indonesia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2015,0.8
Russian Federation,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2015,0.8
Sweden,Prevalence of severe food insecurity in the total population (percent) (3-year average),2015,0.8
United Kingdom of Great Britain and Northern Ireland,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2015,0.8
Croatia,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2016,0.8
Estonia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2016,0.8
Estonia,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2016,0.8
Germany,Prevalence of severe food insecurity in the total population (percent) (3-year average),2016,0.8
Germany,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2016,0.8
Indonesia,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2016,0.8
Pakistan,Prevalence of severe food insecurity in the total population (percent) (3-year average),2016,0.8
Russian Federation,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2016,0.8
Slovenia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2016,0.8
Croatia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2017,0.8
Croatia,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2017,0.8
Indonesia,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2017,0.8
Kyrgyzstan,Prevalence of severe food insecurity in the total population (percent) (3-year average),2017,0.8
Kyrgyzstan,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2017,0.8
Luxembourg,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2017,0.8
Poland,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2017,0.8
Switzerland,Prevalence of severe food insecurity in the total population (percent) (3-year average),2017,0.8
Canada,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2018,0.8
Croatia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2018,0.8
Germany,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2018,0.8
Hungary,Prevalence of severe food insecurity in the total population (percent) (3-year average),2018,0.8
Hungary,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2018,0.8
Hungary,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2018,0.8
Indonesia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2018,0.8
Indonesia,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2018,0.8
Kyrgyzstan,Prevalence of severe food insecurity in the total population (percent) (3-year average),2018,0.8
Kyrgyzstan,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2018,0.8
Malta,Prevalence of severe food insecurity in the total population (percent) (3-year average),2018,0.8
Slovakia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2018,0.8
Slovakia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2018,0.8
Slovakia,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2018,0.8
Sweden,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2018,0.8
United Kingdom of Great Britain and Northern Ireland,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2018,0.8
United States of America,Prevalence of severe food insecurity in the total population (percent) (3-year average),2018,0.8
Armenia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2019,0.8
Czechia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2019,0.8
Czechia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2019,0.8
Estonia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2019,0.8
Latvia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2019,0.8
Luxembourg,Prevalence of severe food insecurity in the total population (percent) (3-year average),2019,0.8
Sri Lanka,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2019,0.8
Thailand,Prevalence of severe food insecurity in the total population (percent) (3-year average),2019,0.8
Thailand,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2019,0.8
United States of America,Prevalence of severe food insecurity in the total population (percent) (3-year average),2019,0.8
United States of America,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2019,0.8
Estonia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2020,0.8
Estonia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2020,0.8
Estonia,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2020,0.8
Latvia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2020,0.8
Luxembourg,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2020,0.8
Norway,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2020,0.8
Poland,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2020,0.8
United Arab Emirates,Prevalence of severe food insecurity in the total population (percent) (3-year average),2020,0.8
United States of America,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2020,0.8
Estonia,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2021,0.8
Latvia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2021,0.8
Republic of Korea,Prevalence of severe food insecurity in the total population (percent) (3-year average),2021,0.8
Azerbaijan,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2022,0.8
Estonia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2022,0.8
Poland,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2022,0.8
United States of America,Prevalence of severe food insecurity in the total population (percent) (3-year average),2022,0.8
Uruguay,Percentage of children under 5 years affected by wasting (percent),2016,0.9
Republic of Korea,Percentage of children under 5 years affected by wasting (percent),2017,0.9
Mongolia,Percentage of children under 5 years affected by wasting (percent),2018,0.9
Austria,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2015,0.9
Denmark,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2015,0.9
Estonia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2015,0.9
Estonia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2015,0.9
Pakistan,Prevalence of severe food insecurity in the total population (percent) (3-year average),2015,0.9
Singapore,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2015,0.9
Slovenia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2015,0.9
Slovenia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2015,0.9
Sweden,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2015,0.9
Brazil,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2016,0.9
Denmark,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2016,0.9
Estonia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2016,0.9
France,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2016,0.9
Germany,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2016,0.9
Indonesia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2016,0.9
Slovakia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2016,0.9
Slovenia,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2016,0.9
Sweden,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2016,0.9
United States of America,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2016,0.9
Brazil,Prevalence of severe food insecurity in the total population (percent) (3-year average),2017,0.9
France,Prevalence of severe food insecurity in the total population (percent) (3-year average),2017,0.9
Germany,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2017,0.9
Hungary,Prevalence of severe food insecurity in the total population (percent) (3-year average),2017,0.9
Hungary,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2017,0.9
Indonesia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2017,0.9
Japan,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2017,0.9
Kyrgyzstan,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2017,0.9
Luxembourg,Prevalence of severe food insecurity in the total population (percent) (3-year average),2017,0.9
Slovakia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2017,0.9
United States of America,Prevalence of severe food insecurity in the total population (percent) (3-year average),2017,0.9
United States of America,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2017,0.9
United States of America,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2017,0.9
Croatia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2018,0.9
Estonia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2018,0.9
Estonia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2018,0.9
Estonia,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2018,0.9
Indonesia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2018,0.9
Kyrgyzstan,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2018,0.9
Lithuania,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2018,0.9
Luxembourg,Prevalence of severe food insecurity in the total population (percent) (3-year average),2018,0.9
Luxembourg,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2018,0.9
Switzerland,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2018,0.9
United States of America,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2018,0.9
Armenia,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2019,0.9
Austria,Prevalence of severe food insecurity in the total population (percent) (3-year average),2019,0.9
Austria,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2019,0.9
Austria,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2019,0.9
Canada,Prevalence of severe food insecurity in the total population (percent) (3-year average),2019,0.9
Canada,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2019,0.9
Canada,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2019,0.9
Croatia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2019,0.9
Czechia,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2019,0.9
Denmark,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2019,0.9
Estonia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2019,0.9
Germany,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2019,0.9
Kyrgyzstan,Prevalence of severe food insecurity in the total population (percent) (3-year average),2019,0.9
Kyrgyzstan,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2019,0.9
Kyrgyzstan,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2019,0.9
Luxembourg,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2019,0.9
Malta,Prevalence of severe food insecurity in the total population (percent) (3-year average),2019,0.9
Singapore,Prevalence of severe food insecurity in the total population (percent) (3-year average),2019,0.9
Singapore,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2019,0.9
Sri Lanka,Prevalence of severe food insecurity in the total population (percent) (3-year average),2019,0.9
Sri Lanka,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2019,0.9
Thailand,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2019,0.9
United Kingdom of Great Britain and Northern Ireland,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2019,0.9
Japan,Prevalence of severe food insecurity in the total population (percent) (3-year average),2020,0.9
Kyrgyzstan,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2020,0.9
Poland,Prevalence of severe food insecurity in the total population (percent) (3-year average),2020,0.9
Republic of Korea,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2020,0.9
Slovenia,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2020,0.9
Thailand,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2020,0.9
United Arab Emirates,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2020,0.9
Japan,Prevalence of severe food insecurity in the total population (percent) (3-year average),2021,0.9
Poland,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2021,0.9
Republic of Korea,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2021,0.9
Slovenia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2021,0.9
United States of America,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2021,0.9
Poland,Prevalence of severe food insecurity in the total population (percent) (3-year average),2022,0.9
Poland,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2022,0.9
Republic of Korea,Prevalence of severe food insecurity in the total population (percent) (3-year average),2022,0.9
Slovenia,Prevalence of severe food insecurity in the total population (percent) (3-year average),2022,0.9
Switzerland,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2022,0.9
Mexico,Percentage of children under 5 years affected by wasting (percent),2015,1
Paraguay,Percentage of children under 5 years affected by wasting (percent),2016,1
Kyrgyzstan,Percentage of children under 5 years affected by wasting (percent),2021,1
Mexico,Percentage of children under 5 years affected by wasting (percent),2022,1
Brazil,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2015,1
Denmark,Prevalence of severe food insecurity in the total population (percent) (3-year average),2015,1
Denmark,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2015,1
Germany,Prevalence of severe food insecurity in the total population (percent) (3-year average),2015,1
Norway,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2015,1
Singapore,Prevalence of severe food insecurity in the total population (percent) (3-year average),2015,1
Slovakia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2015,1
Slovenia,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2015,1
United States of America,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2015,1
Hungary,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2016,1
Indonesia,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2016,1
Israel,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2016,1
Malta,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2016,1
Pakistan,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),2016,1
Poland,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),2016,1
Sweden,Prevalence of severe food insecurity in the total population (percent) (3-year average),2016,1
